id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1069492379796557475,Élysée,48.87714794886787,2.303932862685633,1,,2,3,269,0,1.0,0,1,6,3.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1069678753483886804,Élysée,48.87190715867209,2.3163183579058826,5,,2,3,0,4,1.0,0,1,4,2.0,1.0,3,1,2,5.0,4.5,5.0,5.0,0.16,,,,
1070029789759866361,Élysée,48.87123,2.30833,102,,2,3,340,4,1.0,1,1,6,3.0,1.0,90,1,1,4.0,4.0,2.0,5.0,0.21,,,,
1070779291716206927,Élysée,48.8712749,2.3177232,4,,2,3,133,2,0.6,0,1,2,1.0,1.0,30,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1070832457559446937,Élysée,48.881193406116,2.326400409555635,1,,2,3,0,0,1.0,0,1,8,3.0,1.0,6,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1070865909210631354,Élysée,48.8680520830398,2.3027704788490064,9,,3,2,0,2,1.0,0,1,16,30.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1071671215504124976,Élysée,48.8657666,2.3045983,4,,2,3,0,0,1.0,1,1,2,1.0,1.0,2,0,54,4.72,4.74,4.85,4.93,2.96,,,,
1070942552605442551,Élysée,48.8740865,2.3074353,816,,2,3,268,2,0.87,0,1,4,2.0,1.0,31,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1071020436354803291,Élysée,48.87403376495372,2.302781630660862,9,,3,2,0,2,1.0,0,1,16,30.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1071844015695678679,Élysée,48.86417900360083,2.311761751770973,4,,0,3,153,4,1.0,1,1,5,2.0,1.0,1,0,6,5.0,4.83,5.0,5.0,0.35,,,,
1071494132689875557,Élysée,48.88040658420292,2.326192979036465,1,,2,3,269,2,1.0,0,0,2,1.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1072421984563119657,Élysée,48.8706019759147,2.321997353442371,1,,2,3,161,0,1.0,0,1,7,4.0,1.0,6,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1073702175892868887,Élysée,48.87905594331672,2.326891493388053,24,,2,3,130,4,0.96,1,1,4,1.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
